"_time","sum(counts)","_span"
1615000800,5391356,600
1615001400,5297031,600
1615002000,5467619,600
1615002600,5359727,600
1615003200,5262364,600
1615003800,5706231,600
1615004400,5413301,600
1615005000,5495448,600
1615005600,5457720,600
1615006200,6275506,600
1615006800,5940239,600
1615007400,5932907,600
1615008000,5884203,600
1615008600,6334988,600
1615009200,6031490,600
1615009800,5442491,600
1615010400,5738881,600
1615011000,5581305,600
1615011600,5710855,600
1615012200,5631794,600
1615012800,5526719,600
1615013400,5458806,600
1615014000,5476897,600
1615014600,5906267,600
1615015200,5827360,600
1615015800,6171511,600
1615016400,6028926,600
1615017000,5705320,600
1615017600,5030515,600
1615018200,5514887,600
1615018800,5211309,600
1615019400,4783657,600
1615020000,4530619,600
1615020600,4671579,600
1615021200,5134878,600
1615021800,5350138,600
1615022400,5397595,600
1615023000,5419984,600
1615023600,5722345,600
1615024200,5325618,600
1615024800,4860993,600
1615025400,4790011,600
1615026000,4802683,600
1615026600,5815712,600
1615027200,5555267,600
1615027800,5227659,600
1615028400,4615230,600
1615029000,4613861,600
1615029600,4358554,600
1615030200,4571129,600
1615030800,4562161,600
1615031400,4404271,600
1615032000,4661724,600
1615032600,5475670,600
1615033200,5439410,600
1615033800,5610740,600
1615034400,5406302,600
1615035000,5325093,600
1615035600,5737492,600
1615036200,5547305,600
1615036800,5185615,600
1615037400,5336774,600
1615038000,5465067,600
1615038600,5017426,600
1615039200,5701129,600
1615039800,5070367,600
1615040400,5685391,600
1615041000,5376839,600
1615041600,5273703,600
1615042200,5288528,600
1615042800,5556408,600
1615043400,5667167,600
1615044000,5264995,600
1615044600,5725024,600
1615045200,5221016,600
1615045800,5301086,600
1615046400,5043743,600
1615047000,4697113,600
1615047600,4678378,600
1615048200,4453488,600
1615048800,4686960,600
1615049400,5205643,600
1615050000,5207653,600
1615050600,5253915,600
1615051200,5088418,600
1615051800,4757100,600
1615052400,5416785,600
1615053000,5409701,600
1615053600,4856176,600
1615054200,5695800,600
1615054800,5370604,600
1615055400,5723344,600
1615056000,5917177,600
1615056600,5827145,600
1615057200,5796656,600
1615057800,5752864,600
1615058400,5342945,600
1615059000,5785879,600
1615059600,4864681,600
1615060200,4954027,600
1615060800,4807565,600
1615061400,4946300,600
1615062000,4695982,600
1615062600,4531581,600
1615063200,4346214,600
1615063800,3211061,600
1615064400,3322774,600
1615065000,4651862,600
1615065600,4335745,600
1615066200,3658314,600
1615066800,2723832,600
1615067400,2818134,600
1615068000,2728568,600
1615068600,3222847,600
1615069200,2699540,600
1615069800,2791886,600
1615070400,2796101,600
1615071000,2775556,600
1615071600,2692867,600
1615072200,2783357,600
1615072800,2744373,600
1615073400,2785632,600
1615074000,2887386,600
1615074600,3007085,600
1615075200,3063579,600
1615075800,2914479,600
1615076400,2972416,600
1615077000,3089011,600
1615077600,3099708,600
1615078200,3346339,600
1615078800,3648393,600
1615079400,3589453,600
1615080000,3682198,600
1615080600,3086693,600
1615081200,3512940,600
1615081800,2976413,600
1615082400,2858480,600
1615083000,2933154,600
1615083600,3089454,600
1615084200,3815709,600
1615084800,3932575,600
1615085400,3652480,600
1615086000,3863818,600
1615086600,3932049,600
1615087200,3718384,600
1615087800,3805129,600
1615088400,3771280,600
1615089000,3927276,600
1615089600,3654954,600
1615090200,3594229,600
1615090800,3096586,600
1615091400,3250487,600
1615092000,3357591,600
1615092600,3356380,600
1615093200,3494637,600
1615093800,3624296,600
1615094400,4063212,600
1615095000,4273979,600
1615095600,3936371,600
1615096200,3937260,600
1615096800,3958920,600
1615097400,3620739,600
1615098000,4657116,600
1615098600,4366560,600
1615099200,4367460,600
1615099800,4373819,600
1615100400,4870312,600
1615101000,4615943,600
1615101600,4548632,600
1615102200,4078075,600
1615102800,4197309,600
1615103400,4119965,600
1615104000,4148978,600
1615104600,3982540,600
1615105200,4500296,600
1615105800,4639227,600
1615106400,4866166,600
1615107000,4303016,600
1615107600,4265407,600
1615108200,4283548,600
1615108800,4333457,600
1615109400,4282337,600
1615110000,4163925,600
1615110600,4227606,600
1615111200,4267473,600
1615111800,3996744,600
1615112400,4264308,600
1615113000,4306976,600
1615113600,4016249,600
1615114200,3945187,600
1615114800,4299767,600
1615115400,4539517,600
1615116000,4534311,600
1615116600,4041312,600
1615117200,3821930,600
1615117800,3554578,600
1615118400,3631980,600
1615119000,4100487,600
1615119600,4166911,600
1615120200,4514137,600
1615120800,4411777,600
1615121400,4034940,600
1615122000,3362769,600
1615122600,3535095,600
1615123200,3867568,600
1615123800,4089267,600
1615124400,4273765,600
1615125000,4012293,600
1615125600,4055644,600
1615126200,3577072,600
1615126800,3776675,600
1615127400,3723451,600
1615128000,3982277,600
1615128600,4002510,600
