"_time","sum(counts)","_span"
1613323800,3141322,600
1613324400,3142575,600
1613325000,3259326,600
1613325600,3183960,600
1613326200,3345383,600
1613326800,3236830,600
1613327400,3149533,600
1613328000,3088346,600
1613328600,3054270,600
1613329200,3114597,600
1613329800,3105769,600
1613330400,3060628,600
1613331000,2786342,600
1613331600,2757337,600
1613332200,2951142,600
1613332800,3662058,600
1613333400,3479929,600
1613334000,3247408,600
1613334600,3297663,600
1613335200,3355274,600
1613335800,3241276,600
1613336400,3215821,600
1613337000,3090705,600
1613337600,3038672,600
1613338200,3053910,600
1613338800,3024340,600
1613339400,3487640,600
1613340000,3254211,600
1613340600,3307542,600
1613341200,3448791,600
1613341800,6092035,600
1613342400,3501955,600
1613343000,3604977,600
1613343600,4424178,600
1613344200,4291246,600
1613344800,4687180,600
1613345400,5438087,600
1613346000,5330739,600
1613346600,5300043,600
1613347200,5919931,600
1613347800,5998003,600
1613348400,6045977,600
1613349000,6144343,600
1613349600,6168986,600
1613350200,6422139,600
1613350800,6455474,600
1613351400,6580736,600
1613352000,6502762,600
1613352600,6616090,600
1613353200,6404686,600
1613353800,6180885,600
1613354400,6540081,600
1613355000,6715758,600
1613355600,6677295,600
1613356200,6697502,600
1613356800,6728515,600
1613357400,6849810,600
1613358000,7036915,600
1613358600,7286100,600
1613359200,7460562,600
1613359800,7548491,600
1613360400,7217801,600
1613361000,7086543,600
1613361600,7425855,600
1613362200,7355290,600
1613362800,6702274,600
1613363400,6934161,600
1613364000,6658551,600
1613364600,6758764,600
1613365200,8456299,600
1613365800,7149625,600
1613366400,7093733,600
1613367000,7211099,600
1613367600,6759832,600
1613368200,7255124,600
1613368800,7064168,600
1613369400,7323224,600
1613370000,6992078,600
1613370600,7145362,600
1613371200,7092617,600
1613371800,7061131,600
1613372400,7002012,600
1613373000,7022055,600
1613373600,6898189,600
1613374200,6885602,600
1613374800,6800114,600
1613375400,6702518,600
1613376000,6457598,600
1613376600,6749263,600
1613377200,6512672,600
1613377800,6262154,600
1613378400,6319109,600
1613379000,6191142,600
1613379600,6121175,600
1613380200,8605691,600
1613380800,5774189,600
1613381400,5777965,600
1613382000,5637305,600
1613382600,4787463,600
1613383200,5541782,600
1613383800,5051404,600
1613384400,4891937,600
1613385000,4894017,600
1613385600,4839070,600
1613386200,4897828,600
1613386800,5912513,600
1613387400,4817967,600
1613388000,4629304,600
1613388600,4456018,600
1613389200,4237457,600
1613389800,4187869,600
1613390400,4238226,600
1613391000,4293715,600
1613391600,4098450,600
1613392200,4200762,600
1613392800,4058047,600
1613393400,4090919,600
1613394000,4066758,600
1613394600,4052847,600
1613395200,3973141,600
1613395800,3937221,600
1613396400,4003588,600
1613397000,3908071,600
1613397600,3893093,600
1613398200,3739130,600
1613398800,3703871,600
1613399400,3699903,600
1613400000,3730893,600
1613400600,3657460,600
1613401200,3798360,600
1613401800,3749767,600
1613402400,3871463,600
1613403000,3691877,600
